country_alpha,loc_code,year,n,tradagg_mean,survsagg_mean
GRC,300003,2017,55,1.0331673516202198,-0.054972710758186494
GRC,300110,2017,99,0.6578807258759038,-0.032634210975697055
GTM,4,2004,238,-1.4432295803613824,-0.57424528442577
GTM,320001,2004,427,-1.627402486117291,-0.24576499359970194
GTM,320002,2020,67,-0.6054293591557488,0.23606020999285918
GTM,320002,2004,165,-1.452863434902169,-0.36101356510468857
GTM,320003,2004,60,-1.2909029269994081,-0.8700591501195257
GTM,320006,2020,485,-1.0586506003959768,-0.030675622840093158
HKG,5,2018,130,1.8756912114034578,0.015645471436875693
HKG,5,2014,147,1.0981044541972198,0.04085904842924647
HKG,344003,2018,199,1.547401772310899,0.7801834655523476
HKG,344003,2014,68,0.9885065113621037,1.016512634958394
HKG,344004,2018,343,1.353383181993564,-0.2958637084580953
HKG,344004,2014,148,0.9408553504057142,-0.14049058729405647
HKG,344005,2018,300,1.4742961893690922,0.25219025405698153
HKG,344005,2014,142,0.7958585113634696,0.2702680075364491
HKG,344009,2018,193,1.3378877045643547,-0.5322413619045371
HKG,344009,2014,95,0.9561716577739676,0.20821721470206822
HKG,344013,2018,104,1.3563372394620288,-0.06575503819309948
HKG,344017,2018,59,1.2237168745228304,-0.1168244782000779
HKG,344018,2018,62,1.471462184811533,0.28573570944691956
HKG,344019,2018,59,1.9813193530010174,0.12898626502385707
HKG,344028,2018,62,1.9940663808453225,0.7627030279398102
HKG,344029,2018,65,1.7635383313151143,0.9293415149948585
HRV,191004,1996,285,0.1575654341907094,-0.2892854836801762
HRV,191009,1996,129,1.275187352978531,-0.08574243423455347
HRV,191010,1996,229,1.788905031816225,1.0019961971475526
HRV,191021,1996,99,1.7540146714233484,0.9913659654106676
HTI,2,2016,296,-0.8417631583786669,0.10238955578847102
HTI,5,2016,144,-0.8275368925863922,0.060512047811320566
HTI,332001,2016,52,-1.0625144575561167,0.21577870764364246
HTI,332002,2016,564,-0.8671090584406267,0.06220834358396383
HTI,332003,2016,312,-0.8474815232377367,0.051300378370540814
HTI,332004,2016,217,-0.8437613826103844,0.0023093577975073615
HUN,348004,2009,301,0.46819665828268153,-0.12346975311298415
HUN,348004,1998,170,0.4745035074230254,-0.18859535023576382
HUN,348006,2009,134,0.7490513042170749,-0.45416441634284455
HUN,348006,1998,143,0.9199995165640137,0.1938682537435496
IDN,5,2006,275,-0.24837968578230785,-1.0889962160141469
IDN,5,2001,222,-0.4774819683169624,-1.1513785874466576
IDN,360001,2018,240,-1.3956118721498234,-0.7325907234814519
IDN,360001,2006,159,-0.5584085564368819,-0.9753563286026693
IDN,360001,2001,150,-0.9173797737848001,-0.9895726869055992
IDN,360002,2018,315,-1.3169996683172427,-0.6782568890784971
IDN,360002,2006,135,-0.5331885468734066,-1.132426217493643
IDN,360002,2001,151,-0.9874971547772913,-1.1587459523392205
IDN,360003,2018,111,-1.2583604706225575,-0.8362227850524329
IDN,360003,2001,72,-0.9461290387910333,-1.0602705054786667
IDN,360004,2018,182,-1.3251066272508418,-0.8176668614148305
IDN,360004,2006,145,-0.3750076058662927,-1.2816587834109858
IDN,360005,2018,166,-1.3760352151205615,-0.7242669878212549
IDN,360005,2006,76,-0.5754989126029548,-0.8847749417465862
IDN,360007,2018,845,-1.112682731612799,-0.8836518956124423
IDN,360007,2006,185,-0.30811315309303855,-1.4394960414236169
IDN,360008,2006,204,-0.45272308567107045,-1.194733083375374
IDN,360012,2018,302,-1.2581828252362859,-0.8431962506318824
IDN,360015,2018,153,-1.1628619040752952,-0.8735360494550223
IDN,360017,2018,154,-1.1917667833606873,-0.8197571354838781
IND,5,2023,78,-0.7730592699652521,-0.22969644199947353
IND,356001,1990,62,-0.12839018932420582,-0.5547866657883125
IND,356003,2012,63,-0.3964638749849982,-1.1471913748565037
IND,356003,1995,64,-0.23364832098639685,-0.7825016533501212
IND,356003,1990,341,-0.5516573975704223,-0.45941479081766695
IND,356004,1990,94,0.18925566713521674,-0.6620302754193674
IND,356005,2012,155,-0.40783164880569006,-1.279475527801232
IND,356005,2006,112,-0.09054196023290158,-1.2101935545852134
IND,356005,2001,79,0.19576792158964604,0.08400981317092676
IND,356005,1995,83,0.06666594393492957,-0.40592366527868584
IND,356005,1990,77,-0.13489414149360895,-0.492820336430526
IND,356006,2012,82,-0.3976426058690617,-1.0901058071065943
IND,356017,2012,106,-0.6763942926052101,-1.0933148120325407
IND,356038,1990,58,-1.0460537913066696,0.0932924715276977
IND,356067,2023,226,-0.21264252981757562,-0.17155286927505883
IND,356067,2012,635,-0.7780879637944652,-0.9170505639981097
IND,356067,2006,343,-0.5593489321664503,-0.3045367023933005
IND,356067,2001,285,-0.330349889283879,0.12920155009113113
IND,356067,1995,337,-0.757812800064785,-0.3208328655713279
IND,356067,1990,255,-0.421619315728038,-0.3740144162864554
IND,356068,2023,447,-0.5312565853250868,-0.05277334256113922
IND,356068,2012,573,-0.7746539074854752,-0.6799450585722066
IND,356068,2006,215,-0.466666382966806,0.2664544555735774
IND,356068,2001,233,-0.3155631018158869,-0.23076993548043834
IND,356068,1995,254,-1.0795514680770868,-0.23988460139647533
IND,356068,1990,398,-0.5449475985897421,-0.5510897016403882
IND,356096,2012,100,-0.5860502583539712,-1.1640878194815762
IND,356101,2012,129,-0.6732261537213308,-0.6996891974581113
IND,356102,2012,67,-0.5265081074650905,-0.947235992694376
IND,356116,2023,168,-0.5169602312593345,-0.5402723850813027
IRN,5,2020,334,-0.4451866835608721,-0.9528245927320558
IRN,8,2020,273,-0.6100318895108127,-0.8663813404771464
